batter,bowler,balls,runs,dismissals,boundaries,strike_rate,dismissal_rate,boundary_rate,strike_rate_norm,boundary_rate_norm,dismissal_rate_temp,dismissal_rate_norm,batter_matchup_score,bowler_matchup_score
A Ashish Reddy,M Kartik,8,6,0,0,75.0,0.0,0.0,0.14583333333333331,0.0,0.0,1.0,0.32291666666666663,0.6770833333333334
A Ashish Reddy,Parvez Rasool,9,18,0,3,200.0,0.0,0.3333333333333333,0.38888888888888884,0.3333333333333333,0.0,1.0,0.5277777777777777,0.4722222222222223
A Ashish Reddy,YS Chahal,7,13,0,2,185.71428571428572,0.0,0.2857142857142857,0.36111111111111105,0.2857142857142857,0.0,1.0,0.501984126984127,0.498015873015873
A Badoni,AD Russell,7,12,0,1,171.42857142857142,0.0,0.14285714285714285,0.33333333333333326,0.14285714285714285,0.0,1.0,0.45238095238095233,0.5476190476190477
A Badoni,JR Hazlewood,9,3,2,0,33.33333333333333,0.2222222222222222,0.0,0.0648148148148148,0.0,0.5185185185185185,0.4814814814814815,0.1527777777777778,0.8472222222222222
A Badoni,MM Sharma,9,13,1,2,144.44444444444443,0.1111111111111111,0.2222222222222222,0.2808641975308641,0.2222222222222222,0.25925925925925924,0.7407407407407407,0.38117283950617276,0.6188271604938272
A Badoni,Mohammed Shami,6,11,0,1,183.33333333333331,0.0,0.16666666666666666,0.3564814814814814,0.16666666666666666,0.0,1.0,0.46990740740740733,0.5300925925925927
A Badoni,Mohammed Siraj,18,18,0,3,100.0,0.0,0.16666666666666666,0.19444444444444442,0.16666666666666666,0.0,1.0,0.38888888888888884,0.6111111111111112
A Badoni,Rashid Khan,6,2,0,0,33.33333333333333,0.0,0.0,0.0648148148148148,0.0,0.0,1.0,0.2824074074074074,0.7175925925925926
A Badoni,SP Narine,6,3,1,0,50.0,0.16666666666666666,0.0,0.09722222222222221,0.0,0.3888888888888889,0.6111111111111112,0.2013888888888889,0.7986111111111112
A Badoni,TU Deshpande,10,12,1,0,120.0,0.1,0.0,0.2333333333333333,0.0,0.23333333333333336,0.7666666666666666,0.3083333333333333,0.6916666666666667
A Badoni,WD Parnell,7,7,1,1,100.0,0.14285714285714285,0.14285714285714285,0.19444444444444442,0.14285714285714285,0.3333333333333333,0.6666666666666667,0.2996031746031746,0.7003968253968254
A Flintoff,DJ Bravo,7,13,0,2,185.71428571428572,0.0,0.2857142857142857,0.36111111111111105,0.2857142857142857,0.0,1.0,0.501984126984127,0.498015873015873
A Flintoff,DL Vettori,6,4,0,0,66.66666666666666,0.0,0.0,0.1296296296296296,0.0,0.0,1.0,0.31481481481481477,0.6851851851851852
A Manohar,AR Patel,13,12,0,1,92.3076923076923,0.0,0.07692307692307693,0.17948717948717946,0.07692307692307693,0.0,1.0,0.358974358974359,0.641025641025641
A Manohar,Kuldeep Yadav,12,8,0,0,66.66666666666666,0.0,0.0,0.1296296296296296,0.0,0.0,1.0,0.31481481481481477,0.6851851851851852
A Manohar,M Theekshana,6,3,1,0,50.0,0.16666666666666666,0.0,0.09722222222222221,0.0,0.3888888888888889,0.6111111111111112,0.2013888888888889,0.7986111111111112
A Manohar,Mukesh Choudhary,6,9,0,2,150.0,0.0,0.3333333333333333,0.29166666666666663,0.3333333333333333,0.0,1.0,0.47916666666666663,0.5208333333333334
A Mishra,AB Dinda,7,5,0,0,71.42857142857143,0.0,0.0,0.13888888888888887,0.0,0.0,1.0,0.3194444444444444,0.6805555555555556
A Mishra,DJ Bravo,8,9,0,1,112.5,0.0,0.125,0.21874999999999997,0.125,0.0,1.0,0.390625,0.609375
A Mishra,HV Patel,14,11,1,1,78.57142857142857,0.07142857142857142,0.07142857142857142,0.15277777777777776,0.07142857142857142,0.16666666666666666,0.8333333333333334,0.3025793650793651,0.6974206349206349
A Mishra,Harbhajan Singh,15,13,0,1,86.66666666666667,0.0,0.06666666666666667,0.1685185185185185,0.06666666666666667,0.0,1.0,0.3509259259259259,0.6490740740740741
A Mishra,Iqbal Abdulla,9,13,1,2,144.44444444444443,0.1111111111111111,0.2222222222222222,0.2808641975308641,0.2222222222222222,0.25925925925925924,0.7407407407407407,0.38117283950617276,0.6188271604938272
A Mishra,JH Kallis,8,7,0,0,87.5,0.0,0.0,0.17013888888888887,0.0,0.0,1.0,0.3350694444444444,0.6649305555555556
A Mishra,KA Pollard,10,4,1,0,40.0,0.1,0.0,0.07777777777777777,0.0,0.23333333333333336,0.7666666666666666,0.23055555555555554,0.7694444444444445
A Mishra,KV Sharma,16,6,0,0,37.5,0.0,0.0,0.07291666666666666,0.0,0.0,1.0,0.2864583333333333,0.7135416666666667
A Mishra,L Balaji,11,17,0,3,154.54545454545453,0.0,0.2727272727272727,0.30050505050505044,0.2727272727272727,0.0,1.0,0.4684343434343434,0.5315656565656566
A Mishra,M Morkel,6,7,0,1,116.66666666666667,0.0,0.16666666666666666,0.22685185185185183,0.16666666666666666,0.0,1.0,0.40509259259259256,0.5949074074074074
A Mishra,MM Patel,7,15,1,3,214.28571428571428,0.14285714285714285,0.42857142857142855,0.4166666666666666,0.42857142857142855,0.3333333333333333,0.6666666666666667,0.4821428571428571,0.5178571428571429
A Mishra,P Negi,6,9,1,1,150.0,0.16666666666666666,0.16666666666666666,0.29166666666666663,0.16666666666666666,0.3888888888888889,0.6111111111111112,0.3402777777777778,0.6597222222222222
