batter,pressure_balls,pressure_exposure,total_runs,weighted_runs,total_boundaries,weighted_boundaries,dismissals,weighted_dismissals,pressure_avg_score_per_ball,pressure_adjusted_sr_raw,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,reliability_raw,pressure_adjusted_sr_reliable,pressure_adjusted_sr_reliable_norm,pressure_exposure_norm,pressure_boundary_rate_raw_norm,reliability_raw_norm,pressure_dismissal_rate_norm_temp,pressure_dismissal_rate_norm,batter_clutch_index
A Ashish Reddy,81,249.0,114,336.3,15,43.699999999999996,8,26.2,3.074074074074074,135.06024096385542,0.1755020080321285,0.10522088353413654,81,120.61706633869026,0.4440993119971006,0.06269939977288705,0.36642691980041386,0.01868816416269696,0.3006310958118186,0.6993689041881814,0.31788375776670247
A Badoni,167,482.6,170,525.5,16,52.2,13,44.0,2.8898203592814373,108.88934935764607,0.10816411106506424,0.09117281392457521,167,106.2003572120877,0.3357464517203671,0.12585843292056453,0.22583355310251296,0.05020153902528399,0.26049375407021486,0.7395062459297852,0.2748261556844078
A Flintoff,43,28.2,40,21.900000000000002,4,2.1,2,1.5,0.6558139534883721,77.65957446808511,0.07446808510638299,0.05319148936170213,43,88.17546101530965,0.20027523967321303,0.0030011355648083054,0.15548033526756935,0.004763649688530597,0.1519756838905775,0.8480243161094225,0.18954935233660414
A Kumble,33,164.4,24,116.50000000000001,2,9.3,1,4.9,4.981818181818182,70.86374695863748,0.05656934306569343,0.02980535279805353,33,86.74047978230331,0.18949023182750702,0.039825880062726436,0.11810993143109934,0.0010993037742762918,0.0851581508515815,0.9148418491484185,0.1931268389391963
A Manohar,62,84.9,56,92.8,6,15.3,5,13.3,1.3693548387096774,109.30506478209658,0.18021201413427562,0.15665488810365136,62,103.90955525701898,0.31852928086816423,0.01833126047693722,0.37626084163186646,0.01172590692561378,0.447585394581861,0.552414605418139,0.24451743726808906
A Mishra,264,958.6,236,856.7,22,83.7,16,69.8,3.6310606060606063,89.36991445858544,0.0873148341331108,0.07281452117671604,264,90.61978850115507,0.21864627513065127,0.2545557778618937,0.1823027900536768,0.08574569439355074,0.20804148907633152,0.7919585109236684,0.2577727893840902
A Nehra,44,205.8,35,133.5,4,13.1,3,16.900000000000002,4.677272727272728,64.86880466472303,0.06365403304178814,0.08211856171039845,44,82.0764210377016,0.15443617746334026,0.0510193046017412,0.13290190535088497,0.005130084279956029,0.23462446202970985,0.7653755379702901,0.16922068414733954
A Nortje,37,181.5,32,148.9,4,18.200000000000003,4,23.200000000000003,4.905405405405405,82.03856749311295,0.10027548209366392,0.12782369146005512,37,90.76302493725652,0.2197228091309661,0.044449251067971665,0.20936305200768018,0.0025650421399780153,0.36521054702872885,0.6347894529712712,0.19204713328525663
A Symonds,309,380.4,352,418.90000000000003,38,48.5,14,25.0,1.2310679611650486,110.12092534174556,0.12749737118822294,0.06572029442691904,309,108.32401699970896,0.35170741827818175,0.09822635591845563,0.26619905681419886,0.10223525100769512,0.18777226979119724,0.8122277302088028,0.2968161576891282
AA Bilakhia,47,86.4,40,112.60000000000001,3,12.400000000000002,2,3.8,1.8382978723404257,130.32407407407408,0.14351851851851855,0.043981481481481476,47,113.25966653378988,0.3888026901356382,0.01873681933704645,0.2996492704826039,0.006229388054232321,0.12566137566137564,0.8743386243386244,0.29258410113605243
AA Jhunjhunwala,84,164.0,75,134.3,7,11.600000000000001,6,17.1,1.9523809523809523,81.89024390243902,0.07073170731707318,0.10426829268292684,84,87.60997507538072,0.1960251699451283,0.03971773103336397,0.14767923133776797,0.019787467936973252,0.2979094076655052,0.7020905923344948,0.18168267830938478
AB Agarkar,62,173.5,62,176.2,5,13.9,3,8.7,2.7983870967741935,101.55619596541786,0.08011527377521614,0.05014409221902017,62,99.62000287635753,0.28628993514300916,0.042286270480722435,0.16727098070037555,0.01172590692561378,0.14326883491148618,0.8567311650885139,0.23549587780609793
AB Barath,43,42.9,42,26.700000000000003,6,3.6,2,3.0,0.9976744186046511,62.237762237762254,0.08391608391608392,0.06993006993006994,43,81.04494568300984,0.14668383231963622,0.006975612393878765,0.17520661157024797,0.004763649688530597,0.19980019980019978,0.8001998001998002,0.16708417461542704
AB McDonald,46,177.20000000000002,49,195.10000000000002,2,8.1,2,8.2,3.8521739130434787,110.10158013544017,0.04571106094808126,0.04627539503386004,46,103.39196727631652,0.3146392018174269,0.043286649002325206,0.09543915452493332,0.005862953462806889,0.13221541438245724,0.8677845856175428,0.23648678528735112
AB de Villiers,1482,1978.9,1999,2717.0,251,365.0,59,128.6,1.3352901484480433,137.29849916620344,0.18444590429026225,0.06498559805952801,1482,135.99042554608985,0.5596421468809415,0.5304169145081923,0.38510069107875977,0.5320630267497252,0.18567313731293716,0.8143268626870628,0.548947485596994
AC Blizzard,61,64.6,77,60.6,14,12.100000000000001,5,8.6,1.0590163934426229,93.80804953560371,0.18730650154798764,0.13312693498452013,61,95.3445693150267,0.2541567034030061,0.012842697236792298,0.3910732714138288,0.011359472334188348,0.3803626713843432,0.6196373286156568,0.22655986523232916
