batter,pressure_adjusted_sr_reliable,pressure_exposure,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,cluster,batter_role
A Ashish Reddy,120.61706633869026,249.0,0.1755020080321285,0.10522088353413654,0.0,0.0,0.4024728139879317,0.41341032494011704,0.0,1,Aggressive Accelerator
A Badoni,106.2003572120877,482.6,0.10816411106506424,0.09117281392457521,0.0,0.2449622865442964,0.32628341529350935,0.39158900406072,0.2145097447967126,1,Aggressive Accelerator
A Flintoff,88.17546101530965,28.2,0.07446808510638299,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
A Kumble,86.74047978230331,164.4,0.05656934306569343,0.02980535279805353,0.0,0.0,0.2185343034290156,0.3912355844198715,0.0,1,Aggressive Accelerator
A Manohar,103.90955525701898,84.9,0.18021201413427562,0.15665488810365136,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
A Mishra,90.61978850115507,958.6,0.0873148341331108,0.07281452117671604,0.23600870436847693,0.21938867219804242,0.41573072657461585,0.568579278118998,0.16640006983592667,1,Aggressive Accelerator
A Nehra,82.0764210377016,205.8,0.06365403304178814,0.08211856171039845,0.0,0.0,0.2215797894238845,0.36471429147571205,0.0,1,Aggressive Accelerator
A Nortje,90.76302493725652,181.5,0.10027548209366392,0.12782369146005512,0.0,0.0,0.2461030441919878,0.3453450168263763,0.0,1,Aggressive Accelerator
A Symonds,108.32401699970896,380.4,0.12749737118822294,0.06572029442691904,0.0,0.0,0.1891914500282746,0.24110145767302815,0.0,1,Aggressive Accelerator
AA Bilakhia,113.25966653378988,86.4,0.14351851851851855,0.043981481481481476,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
AA Jhunjhunwala,87.60997507538072,164.0,0.07073170731707318,0.10426829268292684,0.0,0.0,0.16945224351143795,0.3052286487260725,0.0,1,Aggressive Accelerator
AB Agarkar,99.62000287635753,173.5,0.08011527377521614,0.05014409221902017,0.0,0.0,0.25921005306810346,0.41368368558957763,0.0,1,Aggressive Accelerator
AB Barath,81.04494568300984,42.9,0.08391608391608392,0.06993006993006994,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
AB McDonald,103.39196727631652,177.20000000000002,0.04571106094808126,0.04627539503386004,0.0,0.0,0.2880829738360444,0.4250873342318289,0.0,1,Aggressive Accelerator
AB de Villiers,135.99042554608985,1978.9,0.18444590429026225,0.06498559805952801,0.721044937533815,0.49028002422794803,0.5262205418476672,0.5585458914330828,0.48123351101530853,2,Clutch Finisher
AC Blizzard,95.3445693150267,64.6,0.18730650154798764,0.13312693498452013,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
AC Gilchrist,114.39127567733082,584.8,0.2036593707250342,0.058139534883720936,0.0,0.4731564744013313,0.0,0.0,0.45688882650531487,0,Anchor / Stabilizer
