batter,pressure_balls,pressure_exposure,total_runs,weighted_runs,total_boundaries,weighted_boundaries,dismissals,weighted_dismissals,pressure_avg_score_per_ball,pressure_adjusted_sr_raw,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,reliability_raw,pressure_adjusted_sr_reliable,pressure_adjusted_sr_reliable_norm,pressure_exposure_norm,pressure_boundary_rate_raw_norm,reliability_raw_norm,pressure_dismissal_rate_norm_temp,pressure_dismissal_rate_norm,batter_clutch_index,death_strike_rate,middle_strike_rate,pp_strike_rate,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,reliability_label,risk_score_raw,reward_score_raw,risk_score_norm,reward_score_norm,risk_reward_profile,batter_role,strength_tags,weakness_tags,best_phase,death_finish_fit,high_pressure_chase_fit,collapse_situation_fit,controlled_chase_fit,comfortable_chase_fit,neutral_situation_fit
A Ashish Reddy,81,249.0,114,336.3,15,43.699999999999996,8,26.2,3.074074074074074,135.06024096385542,0.1755020080321285,0.10522088353413654,81,120.61706633869026,0.4440993119971006,0.06269939977288705,0.36642691980041386,0.01868816416269696,0.3006310958118186,0.6993689041881814,0.31788375776670247,127.65957446808511,181.4814814814815,71.42857142857143,0.0,0.0,0.4024728139879317,0.41341032494011704,0.0,Low Reliability,0.10522088353413654,79.3903201244993,0.3006310958118186,0.4247111709697147,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Poor Accelerator, Low Sample Confidence",Middle,0.08227416406608017,0.08227416406608017,0.330721683007947,0.3083967488008424,0.11499694805088524,0.1308911359392204
A Badoni,167,482.6,170,525.5,16,52.2,13,44.0,2.8898203592814373,108.88934935764607,0.10816411106506424,0.09117281392457521,167,106.2003572120877,0.3357464517203671,0.12585843292056453,0.22583355310251296,0.05020153902528399,0.26049375407021486,0.7395062459297852,0.2748261556844078,132.35294117647058,93.42105263157895,39.130434782608695,0.0,0.2449622865442964,0.32628341529350935,0.39158900406072,0.2145097447967126,Medium Reliability,0.09117281392457521,68.04677876985518,0.26049375407021486,0.30924436207917666,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Poor Accelerator",Death,0.10841323149440144,0.21712363335195564,0.29090607912325794,0.2810596812061126,0.15985689849377768,0.16896322738767922
A Flintoff,43,28.2,40,21.900000000000002,4,2.1,2,1.5,0.6558139534883721,77.65957446808511,0.07446808510638299,0.05319148936170213,43,88.17546101530965,0.20027523967321303,0.0030011355648083054,0.15548033526756935,0.004763649688530597,0.1519756838905775,0.8480243161094225,0.18954935233660414,,92.5925925925926,93.75,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.05319148936170213,55.88400001344111,0.1519756838905775,0.18543847057336488,Low Risk Stabilizer,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Powerplay,0.048101885537430625,0.048101885537430625,0.03862441792060042,0.048340068021857155,0.06729500325551756,0.07677247087234779
A Kumble,33,164.4,24,116.50000000000001,2,9.3,1,4.9,4.981818181818182,70.86374695863748,0.05656934306569343,0.02980535279805353,33,86.74047978230331,0.18949023182750702,0.039825880062726436,0.11810993143109934,0.0010993037742762918,0.0851581508515815,0.9148418491484185,0.1931268389391963,72.0,75.0,,0.0,0.0,0.2185343034290156,0.3912355844198715,0.0,Low Reliability,0.02980535279805353,54.30706159200972,0.0851581508515815,0.16938668906643545,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Accelerator, Low Sample Confidence",Powerplay,0.04844660530094052,0.04844660530094052,0.22401288083055482,0.22914088572241245,0.06781425438357397,0.07747059633053378
A Manohar,62,84.9,56,92.8,6,15.3,5,13.3,1.3693548387096774,109.30506478209658,0.18021201413427562,0.15665488810365136,62,103.90955525701898,0.31852928086816423,0.01833126047693722,0.37626084163186646,0.01172590692561378,0.447585394581861,0.552414605418139,0.24451743726808906,150.0,67.64705882352942,93.75,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.15665488810365136,69.5542137195824,0.447585394581861,0.32458866222436994,Low Risk Stabilizer,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Death,0.06288824535586433,0.06288824535586433,0.05066237349245988,0.06347454070214502,0.08792628442895392,0.10015215629235838
A Mishra,264,958.6,236,856.7,22,83.7,16,69.8,3.6310606060606063,89.36991445858544,0.0873148341331108,0.07281452117671604,264,90.61978850115507,0.21864627513065127,0.2545557778618937,0.1823027900536768,0.08574569439355074,0.20804148907633152,0.7919585109236684,0.2577727893840902,107.58620689655172,67.22689075630252,,0.23600870436847693,0.21938867219804242,0.41573072657461585,0.568579278118998,0.16640006983592667,High Reliability,0.07281452117671604,57.864466466017475,0.20804148907633152,0.20559779597663802,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Poor Accelerator",Powerplay,0.20846897894625877,0.19834053435145746,0.37285352219544654,0.3637412288813052,0.19617137349581876,0.2113377299456501
A Nehra,44,205.8,35,133.5,4,13.1,3,16.900000000000002,4.677272727272728,64.86880466472303,0.06365403304178814,0.08211856171039845,44,82.0764210377016,0.15443617746334026,0.0510193046017412,0.13290190535088497,0.005130084279956029,0.23462446202970985,0.7653755379702901,0.16922068414733954,73.17073170731707,166.66666666666669,,0.0,0.0,0.2215797894238845,0.36471429147571205,0.0,Low Reliability,0.08211856171039845,51.79201394429249,0.23462446202970985,0.14378581919605166,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Accelerator, Low Sample Confidence",Powerplay,0.04307468367882829,0.04307468367882829,0.21442413810994312,0.2152971477941022,0.06025325630756004,0.06871429051492702
A Nortje,37,181.5,32,148.9,4,18.200000000000003,4,23.200000000000003,4.905405405405405,82.03856749311295,0.10027548209366392,0.12782369146005512,37,90.76302493725652,0.2197228091309661,0.044449251067971665,0.20936305200768018,0.0025650421399780153,0.36521054702872885,0.6347894529712712,0.19204713328525663,96.66666666666667,42.857142857142854,,0.0,0.0,0.2461030441919878,0.3453450168263763,0.0,Low Reliability,0.12782369146005512,58.468834246100464,0.36521054702872885,0.2117497036376324,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Accelerator, Low Sample Confidence",Powerplay,0.04839653964231086,0.04839653964231086,0.22357165486143726,0.21861615647693902,0.06772950507783543,0.07733186174209826
A Symonds,309,380.4,352,418.90000000000003,38,48.5,14,25.0,1.2310679611650486,110.12092534174556,0.12749737118822294,0.06572029442691904,309,108.32401699970896,0.35170741827818175,0.09822635591845563,0.26619905681419886,0.10223525100769512,0.18777226979119724,0.8122277302088028,0.2968161576891282,150.0,111.42857142857143,67.56756756756756,0.0,0.0,0.1891914500282746,0.24110145767302815,0.0,High Reliability,0.06572029442691904,70.09430504735428,0.18777226979119724,0.3300862947694076,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator",Death,0.08953932707343633,0.08953932707343633,0.21065046361854678,0.21687488981503583,0.1243327053927339,0.13917351327719032
AA Bilakhia,47,86.4,40,112.60000000000001,3,12.400000000000002,2,3.8,1.8382978723404257,130.32407407407408,0.14351851851851855,0.043981481481481476,47,113.25966653378988,0.3888026901356382,0.01873681933704645,0.2996492704826039,0.006229388054232321,0.12566137566137564,0.8743386243386244,0.29258410113605243,140.0,45.45454545454545,43.75,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.043981481481481476,73.69654066101468,0.12566137566137564,0.3667537373411162,Low Risk Stabilizer,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Death,0.07408043349214796,0.07408043349214796,0.05945122843534534,0.07439190289485957,0.1036503130084648,0.11827951806526744
