bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index
A Ashish Reddy,172,380.3,252,598.6,12,28.9,53,111.5,2.211046511627907,9.44412306074152,0.29318958716802523,0.07599263739153299,172,9.491218684047936,0.04530061976870489,0.42646705154954745,0.5052485137323665,0.02859444220700766,0.5460012546910249,0.4539987453089751,0.3548972111005306
A Chandila,114,200.8,103,210.1,8,7.3999999999999995,52,82.3,1.76140350877193,6.2778884462151385,0.40986055776892427,0.03685258964143426,114,7.306955269997722,0.007070900687921967,0.7893477710706688,0.20207855491023174,0.005235602094240843,0.08614477129115694,0.9138552287088431,0.5197187905568876
A Kumble,393,842.3000000000001,425,1046.1000000000001,19,30.2,159,319.8,2.1432569974554707,7.4517392852902775,0.3796747002255728,0.03585420871423483,393,7.700214267562482,0.14369688837773947,0.6954609571676306,0.19434532201996035,0.1175996778091019,0.1689382194266804,0.8310617805733196,0.5021473800757511
A Mishra,1833,3681.3,2224,5057.8,104,184.9,638,1180.7,2.0083469721767595,8.243500937168935,0.32072909026702523,0.050226822046559635,1833,8.280933934807095,0.7483440887696209,0.5121229319142065,0.3056723346988446,0.6975432944019332,0.29119806331843456,0.7088019366815654,0.5936456739167946
A Mithun,119,315.1,183,522.7,2,7.0,37,91.7,2.647899159663866,9.953030783878134,0.29101872421453506,0.022215169787369086,119,9.864331625399993,0.03141439311652079,0.4197150351183223,0.08870041079675041,0.00724929520741039,0.6245533212675489,0.3754466787324511,0.23852651522759158
A Nehra,968,1964.8,1233,2791.2,53,110.39999999999999,393,724.9,2.0297520661157025,8.523615635179153,0.36894340390879476,0.05618892508143322,968,8.579097560181259,0.38276574446787215,0.66208349824387,0.35185343654922213,0.3491743858236005,0.3539709300708356,0.6460290699291644,0.5212298616863669
A Nortje,602,1479.6,830,2143.3,34,88.10000000000001,232,529.2,2.4578073089700996,8.691403081914032,0.3576642335766424,0.059543119762097876,602,8.76516263301127,0.2794283645347475,0.6270019914675719,0.37783427003494424,0.2017720499395892,0.39314350858163527,0.6068564914183647,0.4754584839711019
A Singh,212,455.3,282,721.3,14,28.4,81,147.3,2.1476415094339623,9.505381067428068,0.32352295189984626,0.06237645508455963,212,9.533596059945998,0.06127403999744427,0.5208126557961533,0.3997806447180937,0.04470398711236408,0.5549230316758174,0.44507696832418264,0.35355710372716637
A Symonds,250,538.5,358,853.5,11,28.7,82,165.70000000000002,2.154,9.50974930362117,0.30770659238625814,0.05329619312906221,250,9.533662357721312,0.07899388750452581,0.47161916841077145,0.3294469890026276,0.060008054772452676,0.5549369894528955,0.4450630105471045,0.3338351737770905
A Zampa,147,335.8,225,530.4,8,13.0,42,97.4,2.2843537414965986,9.477069684335913,0.29005360333531865,0.03871351995235259,147,9.52177982237807,0.03582305709965285,0.4167132279226581,0.21649290027164098,0.01852597664115989,0.5524353402096451,0.44756465979035487,0.29051491279454794
AA Chavan,151,262.7,200,386.4,6,7.3,57,89.7,1.7397350993377483,8.825275980205557,0.3414541301865246,0.027788351732013706,151,9.031234101602687,0.020254296850041535,0.5765838458789861,0.13186901783203214,0.020136931131695533,0.4491599620425337,0.5508400379574663,0.33953642366799264
AB Agarkar,503,1148.8,686,1702.7,18,33.7,159,323.2,2.28389662027833,8.892931754874652,0.28133704735376047,0.0293349582172702,503,8.961674600566095,0.20897493237918768,0.3896021985891145,0.14384868192041012,0.16190092629883207,0.43451548861136313,0.5654845113886369,0.3521460875746892
AB Dinda,684,1433.2,843,2043.4,37,77.0,282,518.0,2.095321637426901,8.554563215182807,0.3614289701367569,0.0537259279933017,684,8.629404115253596,0.26954614188656745,0.6387114193115816,0.3327756180816658,0.23479661699556986,0.3645620498775033,0.6354379501224967,0.48061227300406545
AB McDonald,115,237.5,154,314.6,10,20.4,32,69.6,2.0652173913043477,7.947789473684212,0.29305263157894734,0.08589473684210526,115,8.464588914453243,0.014887227653185106,0.426041079755098,0.5819479368360367,0.005638340716874753,0.3298632410418254,0.6701367589581746,0.43894258717325335
AC Thomas,140,335.6,157,414.1,7,14.0,61,114.6,2.3971428571428572,7.403456495828367,0.3414779499404052,0.04171632896305125,140,7.9955015306688,0.03578046131237622,0.5766579322552502,0.2397519798194413,0.015706806282722516,0.23110552101282567,0.7688944789871743,0.439332799885578
AD Mascarenhas,120,287.3,145,380.8,4,10.200000000000001,46,107.8,2.3941666666666666,7.952662721893491,0.3752175426383571,0.03550295857988166,120,8.452828870813645,0.025493578685068054,0.6815978981398573,0.19162461791024576,0.007652033830044307,0.327387380173604,0.672612619826396,0.41464816033502383
AD Mathews,435,942.1,624,1444.2,17,36.6,116,224.70000000000002,2.1657471264367816,9.197749708098929,0.2385097123447617,0.038849379046810316,435,9.244706194709556,0.164952186228782,0.25639670571291295,0.21754523409441356,0.13451469995972615,0.4941025845342537,0.5058974154657463,0.31004678130476643
AD Russell,751,1547.4,1199,2795.5,51,105.3,259,468.3,2.0604527296937416,10.839472663823187,0.3026366808840636,0.0680496316401706,751,10.765424908791903,0.29386833642152793,0.4558502661350019,0.44372378739734447,0.2617801047120419,0.8142619369273627,0.1857380630726373,0.3151813937163257
AF Milne,118,278.9,201,490.6,2,6.5,31,70.4,2.363559322033898,10.554320544998209,0.25242022230190037,0.023305844388669776,118,10.286138129291007,0.023704555619449237,0.29966244556365607,0.09714852961550798,0.006846556584776481,0.7133569217430249,0.2866430782569751,0.18392761142716912
AG Murtaza,171,292.6,195,411.3,7,5.8,62,101.5,1.7111111111111112,8.43403964456596,0.34688995215311,0.019822282980177713,171,8.709874030008505,0.02662236704789897,0.5934908363348285,0.0701656507107613,0.028191703584373742,0.38150351022548534,0.6184964897745147,0.3560175942458203
AJ Tye,278,692.5,414,1164.6,12,36.6,73,160.7,2.491007194244604,10.090397111913356,0.23205776173285197,0.052851985559566786,278,10.023755422326262,0.11179264370753735,0.23632925904382263,0.3260062576215048,0.07128473620620218,0.6581170691897047,0.3418829308102953,0.25602349929341967
AM Nayar,159,314.1,190,444.0,7,10.9,56,95.60000000000001,1.9754716981132077,8.48137535816619,0.3043616682585164,0.0347023241006049,159,8.761722791193899,0.031201414180137596,0.46121547957569187,0.18542308428760718,0.023358840112766815,0.3924193131611502,0.6075806868388498,0.3489970493045545
AN Ahmed,142,293.4,198,481.0,3,3.7,46,76.8,2.0661971830985912,9.83640081799591,0.261758691206544,0.012610770279481938,142,9.788699466492291,0.02679275019700552,0.32870780532958044,0.01430690412786463,0.016512283527990335,0.6086303614251076,0.3913696385748924,0.2112524562750512
AR Patel,1483,2978.1,1759,3833.6,67,116.0,487,925.1,2.008159136884693,7.723582149692758,0.3106342970350223,0.038951009032604685,1483,7.786519053754377,0.5985773007049604,0.4807251830776341,0.21833243698198018,0.5565847764800644,0.18710810462619043,0.8128918953738096,0.5697687601465068
AS Joseph,184,408.2,299,791.0,9,17.2,66,115.2,2.2184782608695652,11.626653601175896,0.2822146006859383,0.042136207741303285,184,11.204981384732758,0.05124273209379593,0.3923316451940302,0.2430042658852557,0.033427305678614586,0.9068024675161122,0.09319753248388785,0.1707154589671488
AS Rajpoot,228,467.9,328,763.9,12,29.1,92,158.7,2.0521929824561402,9.795682838213294,0.33917503740115407,0.06219277623423809,228,9.77006139756738,0.06395757459587247,0.569495203129628,0.39835790988026165,0.051147805074506655,0.6047064588508839,0.3952935411491161,0.3466317787010001
Abhishek Sharma,160,285.4,239,440.4,5,9.600000000000001,39,68.9,1.78375,9.258584442887177,0.24141555711282414,0.03363700070077086,160,9.352547106062138,0.025088918705939982,0.26543472978025584,0.1771713301425416,0.023761578735400732,0.5168065047401411,0.4831934952598589,0.26377843100494114
Akash Madhwal,125,224.5,157,299.2,15,31.4,50,80.10000000000001,1.796,7.996436525612472,0.356792873051225,0.1398663697104677,125,8.469805412072342,0.01211850148020361,0.6242918062964257,1.0,0.009665726943213854,0.33096147866067294,0.6690385213393271,0.5618061916444016
