bowler,bowler_role,bowler_clutch_index,risk_reward_profile,reliability_label,best_phase,strength_tags,weakness_tags,death_bowler_score,set_batter_control_score,momentum_breaker_score
R Ashwin,Control Bowler,0.7167202143624944,Low Risk Support,High Reliability,Powerplay,"Momentum Breaker, Overall Clutch",No Major Weakness Tag,0.49594208140162166,0.6197699496242963,0.6707283163634132
SP Narine,Control Bowler,0.6933501263548626,High Impact Control,High Reliability,Middle,"Death Specialist, Momentum Breaker, High Impact Control",No Major Weakness Tag,0.7147468020951412,0.6041149884085364,0.6621358513597422
SL Malinga,Control Bowler,0.6555042025523911,High Impact Control,High Reliability,Powerplay,"Death Specialist, High Impact Control",No Major Weakness Tag,0.7463576339001908,0.5261302643886824,0.6200732750777668
Harbhajan Singh,Control Bowler,0.6402027827378616,High Impact Control,High Reliability,Powerplay,"Death Specialist, High Impact Control",No Major Weakness Tag,0.6663124790190811,0.6063304345608593,0.6349255912467477
DW Steyn,Control Bowler,0.6379842549232684,High Impact Control,High Reliability,Powerplay,High Impact Control,No Major Weakness Tag,0.6344759910971671,0.46213077081391835,0.5530420351122783
Sohail Tanvir,Strike Bowler,0.6337915780146866,High Impact Control,Medium Reliability,Middle,High Impact Control,"Weak at Death, Poor Momentum Control",0.0,0.34909856354310775,0.0
YS Chahal,Control Bowler,0.6324721490739235,Low Risk Support,High Reliability,Powerplay,No Strong Specialist Tag,No Major Weakness Tag,0.5285031716525908,0.6122705411232332,0.6358100881362321
B Kumar,Control Bowler,0.6283211422144386,High Impact Control,High Reliability,Powerplay,High Impact Control,No Major Weakness Tag,0.6108184306870287,0.4414069190593733,0.5895068159150265
Rashid Khan,Control Bowler,0.6019565023039484,High Impact Control,High Reliability,Middle,"Momentum Breaker, High Impact Control",No Major Weakness Tag,0.5608830822022479,0.5679055224215308,0.657844106064873
A Mishra,Control Bowler,0.5936456739167946,Low Risk Support,High Reliability,Powerplay,No Strong Specialist Tag,No Major Weakness Tag,0.4539240218245376,0.5853423980396345,0.6154452274660692
JJ Bumrah,Control Bowler,0.591924420326739,Low Risk Support,High Reliability,Middle,"Death Specialist, Momentum Breaker",No Major Weakness Tag,0.7192634628473098,0.5348979990173232,0.6896062966476366
AR Patel,Control Bowler,0.5697687601465068,Low Risk Support,High Reliability,Middle,No Strong Specialist Tag,No Major Weakness Tag,0.5897696088325198,0.523321444959412,0.5523609393150477
M Muralitharan,Control Bowler,0.5670189307347596,High Impact Control,High Reliability,Powerplay,High Impact Control,No Major Weakness Tag,0.6091904828360281,0.5335384586322303,0.5864859177997045
CR Woakes,Strike Bowler,0.5667542084132818,High Impact Control,Medium Reliability,Powerplay,"Set Batter Controller, High Impact Control",Weak at Death,0.0,0.7783933991115056,0.5362927956052155
Akash Madhwal,Death Specialist,0.5618061916444016,High Impact Control,Medium Reliability,Powerplay,High Impact Control,Weak at Death,0.0,0.329457172656629,0.4515975300296426
RA Jadeja,Control Bowler,0.5577690472579293,Low Risk Support,High Reliability,Powerplay,No Strong Specialist Tag,No Major Weakness Tag,0.455213975754696,0.5622730177321418,0.6025370688563227
P Kumar,Control Bowler,0.5543849255256236,High Impact Control,High Reliability,Powerplay,High Impact Control,No Major Weakness Tag,0.4968492555223855,0.33703525046383664,0.5297305168986646
Z Khan,Control Bowler,0.5416177832607553,High Impact Control,High Reliability,Powerplay,High Impact Control,No Major Weakness Tag,0.5255764307427517,0.4228864643035613,0.4967686311486526
DJ Bravo,Control Bowler,0.5409569340242258,Low Risk Support,High Reliability,Powerplay,Death Specialist,No Major Weakness Tag,0.6727582915982728,0.535257816694853,0.6475264023317743
RJ Harris,Control Bowler,0.5394374800645184,High Impact Control,High Reliability,Powerplay,High Impact Control,No Major Weakness Tag,0.5069594742164092,0.45494854218975495,0.4575568239627092
PP Ojha,Control Bowler,0.5367404858992928,Low Risk Support,High Reliability,Powerplay,No Strong Specialist Tag,No Major Weakness Tag,0.4182337819761631,0.5013791096213903,0.6089190724103415
PP Chawla,Control Bowler,0.536333489274131,Low Risk Support,High Reliability,Middle,No Strong Specialist Tag,No Major Weakness Tag,0.39749401530952905,0.5590815014420578,0.5920192936582032
J Botha,Strike Bowler,0.5356953629387919,High Impact Control,High Reliability,Middle,High Impact Control,Weak at Death,0.0,0.5363222107977509,0.4289841372520847
