bowler,pressure_economy_reliable,pressure_dot_rate_raw,pressure_wicket_rate_raw,pressure_exposure,death_bowler_score,set_batter_control_score,momentum_breaker_score,cluster,bowler_role
A Ashish Reddy,9.491218684047936,0.29318958716802523,0.07599263739153299,380.3,0.0,0.4632929231346755,0.4159922473817113,1,Death Specialist
A Chandila,7.306955269997722,0.40986055776892427,0.03685258964143426,200.8,0.0,0.47793177250076563,0.0,2,Strike Bowler
A Kumble,7.700214267562482,0.3796747002255728,0.03585420871423483,842.3000000000001,0.0,0.48411863200606065,0.5469316035794087,2,Strike Bowler
A Mishra,8.280933934807095,0.32072909026702523,0.050226822046559635,3681.3,0.4539240218245376,0.5853423980396345,0.6154452274660692,0,Control Bowler
A Mithun,9.864331625399993,0.29101872421453506,0.022215169787369086,315.1,0.0,0.31767112839986034,0.315142680175115,3,Balanced Support Bowler
A Nehra,8.579097560181259,0.36894340390879476,0.05618892508143322,1964.8,0.5326788701485602,0.4139537939555795,0.5807874441801202,0,Control Bowler
A Nortje,8.76516263301127,0.3576642335766424,0.059543119762097876,1479.6,0.6001280621231678,0.3894625889620209,0.5011701094412724,0,Control Bowler
A Singh,9.533596059945998,0.32352295189984626,0.06237645508455963,455.3,0.0,0.36715219177651615,0.4480293528472466,1,Death Specialist
A Symonds,9.533662357721312,0.30770659238625814,0.05329619312906221,538.5,0.0,0.3715804439097722,0.39473584265143036,1,Death Specialist
A Zampa,9.52177982237807,0.29005360333531865,0.03871351995235259,335.8,0.0,0.3140564817924306,0.35986021094325865,3,Balanced Support Bowler
AA Chavan,9.031234101602687,0.3414541301865246,0.027788351732013706,262.7,0.0,0.46910927579298944,0.43247177392236325,2,Strike Bowler
AB Agarkar,8.961674600566095,0.28133704735376047,0.0293349582172702,1148.8,0.2867869054497848,0.41096656453797215,0.37754739612743343,2,Strike Bowler
AB Dinda,8.629404115253596,0.3614289701367569,0.0537259279933017,1433.2,0.3758142834059506,0.4382441118713721,0.46171999048334145,0,Control Bowler
AB McDonald,8.464588914453243,0.29305263157894734,0.08589473684210526,237.5,0.0,0.4206434495143636,0.4815133950148942,1,Death Specialist
AC Thomas,7.9955015306688,0.3414779499404052,0.04171632896305125,335.6,0.0,0.327635620087265,0.5082740429298693,2,Strike Bowler
