bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index,death_economy,middle_economy,pp_economy,death_bowler_score,set_batter_control_score,momentum_breaker_score,reliability_label,risk_score_raw,reward_score_raw,risk_score_norm,reward_score_norm,risk_reward_profile,bowler_role,strength_tags,weakness_tags,best_phase,death_finish_fit,high_pressure_chase_fit,collapse_situation_fit,controlled_chase_fit,comfortable_chase_fit,neutral_situation_fit
A Ashish Reddy,172,380.3,252,598.6,12,28.9,53,111.5,2.211046511627907,9.44412306074152,0.29318958716802523,0.07599263739153299,172,9.491218684047936,0.04530061976870489,0.42646705154954745,0.5052485137323665,0.02859444220700766,0.5460012546910249,0.4539987453089751,0.3548972111005306,10.235294117647058,7.431192660550458,15.0,0.0,0.4632929231346755,0.4159922473817113,Medium Reliability,9.491218684047936,18.45911122797791,0.5460012546910249,0.5689845671926096,Moderate Profile,Death Specialist,No Strong Specialist Tag,Weak at Death,Middle,0.1554123062134405,0.1970115309516116,0.3397941637900128,0.35068951663298176,0.3452697310312745,0.23890663539819848
A Chandila,114,200.8,103,210.1,8,7.3999999999999995,52,82.3,1.76140350877193,6.2778884462151385,0.40986055776892427,0.03685258964143426,114,7.306955269997722,0.007070900687921967,0.7893477710706688,0.20207855491023174,0.005235602094240843,0.08614477129115694,0.9138552287088431,0.5197187905568876,6.0,7.0,4.769230769230769,0.0,0.47793177250076563,0.0,Medium Reliability,7.306955269997722,22.33565737051793,0.08614477129115694,0.7909336939903179,High Impact Control,Strike Bowler,High Impact Control,"Weak at Death, Poor Momentum Control",Powerplay,0.13071503795335804,0.13071503795335804,0.29825293843333806,0.3260664487592765,0.3281557996620826,0.30425921103704434
A Kumble,393,842.3000000000001,425,1046.1000000000001,19,30.2,159,319.8,2.1432569974554707,7.4517392852902775,0.3796747002255728,0.03585420871423483,393,7.700214267562482,0.14369688837773947,0.6954609571676306,0.19434532201996035,0.1175996778091019,0.1689382194266804,0.8310617805733196,0.5021473800757511,9.714285714285715,6.531914893617022,5.6,0.0,0.48411863200606065,0.5469316035794087,High Reliability,7.700214267562482,20.77644544699038,0.1689382194266804,0.7016620299381616,High Impact Control,Strike Bowler,High Impact Control,Weak at Death,Powerplay,0.22521653722721435,0.2799096975851552,0.4278846224987611,0.4480134450155781,0.4489148824190627,0.31532263010287787
A Mishra,1833,3681.3,2224,5057.8,104,184.9,638,1180.7,2.0083469721767595,8.243500937168935,0.32072909026702523,0.050226822046559635,1833,8.280933934807095,0.7483440887696209,0.5121229319142065,0.3056723346988446,0.6975432944019332,0.29119806331843456,0.7088019366815654,0.5936456739167946,9.529411764705882,7.075070821529745,6.908366533864543,0.4539240218245376,0.5853423980396345,0.6154452274660692,High Reliability,8.280933934807095,18.547795615679245,0.29119806331843456,0.5740621341006623,Low Risk Support,Control Bowler,No Strong Specialist Tag,No Major Weakness Tag,Powerplay,0.549625506580441,0.5657776271445941,0.6158789621666713,0.6110992449362722,0.6115144087301303,0.5726392487910691
A Mithun,119,315.1,183,522.7,2,7.0,37,91.7,2.647899159663866,9.953030783878134,0.29101872421453506,0.022215169787369086,119,9.864331625399993,0.03141439311652079,0.4197150351183223,0.08870041079675041,0.00724929520741039,0.6245533212675489,0.3754466787324511,0.23852651522759158,9.9375,11.384615384615383,7.0,0.0,0.31767112839986034,0.315142680175115,Medium Reliability,9.864331625399993,15.661694700095207,0.6245533212675489,0.4088203042577121,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.1079904251142767,0.1395046931317882,0.23529491882335404,0.24290154916574971,0.2389443185071363,0.16003222605212028
A Nehra,968,1964.8,1233,2791.2,53,110.39999999999999,393,724.9,2.0297520661157025,8.523615635179153,0.36894340390879476,0.05618892508143322,968,8.579097560181259,0.38276574446787215,0.66208349824387,0.35185343654922213,0.3491743858236005,0.3539709300708356,0.6460290699291644,0.5212298616863669,8.217391304347826,8.36470588235294,7.270358306188926,0.5326788701485602,0.4139537939555795,0.5807874441801202,High Reliability,8.579097560181259,21.256616449511398,0.3539709300708356,0.7291539082247672,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Powerplay,0.5095072314890019,0.5143180888921579,0.4611836593067887,0.4751502364864663,0.4805140398730057,0.4768285788763428
A Nortje,602,1479.6,830,2143.3,34,88.10000000000001,232,529.2,2.4578073089700996,8.691403081914032,0.3576642335766424,0.059543119762097876,602,8.76516263301127,0.2794283645347475,0.6270019914675719,0.37783427003494424,0.2017720499395892,0.39314350858163527,0.6068564914183647,0.4754584839711019,8.0,9.439490445859873,7.766037735849056,0.6001280621231678,0.3894625889620209,0.5011701094412724,High Reliability,8.76516263301127,20.860367666937012,0.39314350858163527,0.7064669420303148,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Powerplay,0.4943635728553303,0.4844677775871407,0.3957649590056551,0.41374907545768475,0.41804887020813886,0.44837373440257533
A Singh,212,455.3,282,721.3,14,28.4,81,147.3,2.1476415094339623,9.505381067428068,0.32352295189984626,0.06237645508455963,212,9.533596059945998,0.06127403999744427,0.5208126557961533,0.3997806447180937,0.04470398711236408,0.5549230316758174,0.44507696832418264,0.35355710372716637,10.677966101694915,6.24,7.078125,0.0,0.36715219177651615,0.4480293528472466,High Reliability,9.533596059945998,19.294970349220293,0.5549230316758174,0.616841137258893,Moderate Profile,Death Specialist,No Strong Specialist Tag,Weak at Death,Middle,0.1622992769257332,0.20710221221045785,0.3154392110454944,0.330202112473767,0.32952235807129954,0.22155887791302442
A Symonds,250,538.5,358,853.5,11,28.7,82,165.70000000000002,2.154,9.50974930362117,0.30770659238625814,0.05329619312906221,250,9.533662357721312,0.07899388750452581,0.47161916841077145,0.3294469890026276,0.060008054772452676,0.5549369894528955,0.4450630105471045,0.3338351737770905,9.8,9.361445783132531,5.555555555555555,0.0,0.3715804439097722,0.39473584265143036,High Reliability,9.533662357721312,18.050139275766018,0.5549369894528955,0.5455691441999381,Moderate Profile,Death Specialist,No Strong Specialist Tag,Weak at Death,Powerplay,0.15167037805785508,0.1911439623229981,0.3044607282974695,0.3162648207410673,0.3143775572344333,0.21685136650865852
A Zampa,147,335.8,225,530.4,8,13.0,42,97.4,2.2843537414965986,9.477069684335913,0.29005360333531865,0.03871351995235259,147,9.52177982237807,0.03582305709965285,0.4167132279226581,0.21649290027164098,0.01852597664115989,0.5524353402096451,0.44756465979035487,0.29051491279454794,19.666666666666664,8.347826086956522,6.162162162162161,0.0,0.3140564817924306,0.35986021094325865,Medium Reliability,9.52177982237807,16.438356164383563,0.5524353402096451,0.4532875509969144,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.12938665633629978,0.16537267743062564,0.25822573434287144,0.27064810270064665,0.26947102425075253,0.1817961579724793
AA Chavan,151,262.7,200,386.4,6,7.3,57,89.7,1.7397350993377483,8.825275980205557,0.3414541301865246,0.027788351732013706,151,9.031234101602687,0.020254296850041535,0.5765838458789861,0.13186901783203214,0.020136931131695533,0.4491599620425337,0.5508400379574663,0.33953642366799264,18.0,9.11111111111111,7.073684210526315,0.0,0.46910927579298944,0.43247177392236325,Medium Reliability,9.031234101602687,18.462124095926917,0.4491599620425337,0.56915706698646,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.15277541167510697,0.1960225890673433,0.3395940934553562,0.34908542547592125,0.3426067828696714,0.23265696429554927
AB Agarkar,503,1148.8,686,1702.7,18,33.7,159,323.2,2.28389662027833,8.892931754874652,0.28133704735376047,0.0293349582172702,503,8.961674600566095,0.20897493237918768,0.3896021985891145,0.14384868192041012,0.16190092629883207,0.43451548861136313,0.5654845113886369,0.3521460875746892,9.517241379310345,8.307692307692307,7.313609467455621,0.2867869054497848,0.41096656453797215,0.37754739612743343,High Reliability,8.961674600566095,15.533600278551534,0.43451548861136313,0.4014863415073945,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.2980078777100153,0.3070839267777801,0.33976448396721565,0.34633571818284437,0.34339469433468023,0.31903361324474117
