batter,collapse_balls,collapse_runs,collapse_pressure_exposure,collapse_weighted_runs,collapse_dismissals,collapse_boundaries,collapse_sr_raw,collapse_pressure_sr_raw,collapse_boundary_rate_raw,collapse_dismissal_rate_raw,collapse_pressure_sr_raw_norm,collapse_pressure_exposure_norm,collapse_boundary_rate_raw_norm,collapse_balls_norm,collapse_dismissal_temp,collapse_dismissal_rate_norm,collapse_specialist_score
A Ashish Reddy,69,102,221.0,306.9,8,14,147.82608695652172,138.86877828054298,0.2028985507246377,0.11594202898550725,0.567609139243668,0.08837883546750422,0.6256038647342995,0.09158878504672896,0.25863991081382387,0.7413600891861761,0.4024728139879317
A Badoni,94,101,326.7,368.1,13,10,107.4468085106383,112.67217630853996,0.10638297872340426,0.13829787234042554,0.4352034123280942,0.13945397438994925,0.32801418439716307,0.1383177570093458,0.30851063829787234,0.6914893617021276,0.32628341529350935
A Kumble,33,24,164.4,116.50000000000001,1,2,72.72727272727273,70.86374695863748,0.06060606060606061,0.030303030303030304,0.2238906823340146,0.06102923411452041,0.18686868686868685,0.024299065420560748,0.0675990675990676,0.9324009324009324,0.2185343034290156
A Mishra,264,236,958.6,856.7,16,22,89.39393939393939,89.36991445858544,0.08333333333333333,0.06060606060606061,0.3174265753811624,0.4447934283643392,0.2569444444444444,0.4560747663551402,0.1351981351981352,0.8648018648018648,0.41573072657461585
A Mithun,21,26,97.5,125.60000000000001,4,4,123.80952380952381,128.82051282051285,0.19047619047619047,0.19047619047619047,0.5168220984702949,0.02870258516549891,0.5873015873015872,0.0018691588785046676,0.4249084249084249,0.575091575091575,0.33394815019214924
A Nehra,44,35,205.8,133.5,3,4,79.54545454545455,64.86880466472303,0.09090909090909091,0.06818181818181818,0.19359039021632024,0.08103406619956512,0.2803030303030303,0.044859813084112146,0.15209790209790208,0.8479020979020979,0.2215797894238845
A Nortje,37,32,181.5,148.9,4,4,86.48648648648648,82.03856749311295,0.10810810810810811,0.10810810810810811,0.2803716808085344,0.06929209954095192,0.3333333333333333,0.03177570093457943,0.24116424116424118,0.7588357588357588,0.2461030441919878
A Symonds,45,33,105.0,76.9,10,4,73.33333333333333,73.23809523809524,0.08888888888888889,0.2222222222222222,0.23589137273761468,0.0323266489490215,0.2740740740740741,0.04672897196261683,0.49572649572649574,0.5042735042735043,0.1891914500282746
AA Jhunjhunwala,32,24,94.10000000000001,63.7,4,1,75.0,67.69394261424017,0.03125,0.125,0.20786951100619838,0.027059676250302006,0.09635416666666666,0.022429906542056073,0.27884615384615385,0.7211538461538461,0.16945224351143795
AB Agarkar,47,42,153.70000000000002,151.6,2,2,89.36170212765957,98.63370201691606,0.0425531914893617,0.0425531914893617,0.36424862226201704,0.055858903116694864,0.13120567375886524,0.05046728971962616,0.09492635024549918,0.9050736497545008,0.25921005306810346
AB Dinda,28,19,145.70000000000002,98.2,5,2,67.85714285714286,67.3987645847632,0.07142857142857142,0.17857142857142858,0.206377589969868,0.051993235080937436,0.2202380952380952,0.014953271028037382,0.3983516483516484,0.6016483516483516,0.1806740053644432
AB McDonald,42,47,165.70000000000002,189.3,2,2,111.90476190476191,114.24260712130356,0.047619047619047616,0.047619047619047616,0.44314085526656394,0.061657405170331,0.1468253968253968,0.0411214953271028,0.10622710622710622,0.8937728937728938,0.2880829738360444
AB de Villiers,286,401,798.7,1124.8,36,53,140.2097902097902,140.82884687617377,0.1853146853146853,0.1258741258741259,0.5775159320210763,0.36752838849963765,0.5713869463869463,0.49719626168224296,0.28079612694997313,0.7192038730500269,0.5262205418476672
AC Voges,23,22,61.400000000000006,57.9,3,2,95.65217391304348,94.29967426710097,0.08695652173913043,0.13043478260869565,0.34234310584046646,0.011258758154143515,0.2681159420289855,0.0056074766355140165,0.29096989966555187,0.7090301003344481,0.2345962994158189
AD Mathews,131,158,331.6,368.8,13,14,120.61068702290076,111.21833534378769,0.10687022900763359,0.09923664122137404,0.42785525053354573,0.1418216960618507,0.32951653944020354,0.2074766355140187,0.22137404580152673,0.7786259541984732,0.3436163333651844
AD Russell,336,504,1045.0,1488.5,38,76,150.0,142.44019138755982,0.2261904761904762,0.1130952380952381,0.5856601654437739,0.4865426431505194,0.6974206349206349,0.5906542056074766,0.2522893772893773,0.7477106227106227,0.5945990070432297
AF Milne,29,22,109.5,81.80000000000001,4,1,75.86206896551724,74.70319634703198,0.034482758620689655,0.13793103448275862,0.24329644678274848,0.03450108721913506,0.10632183908045977,0.016822429906542057,0.3076923076923077,0.6923076923076923,0.18148143775756523
AJ Finch,94,115,303.5,348.40000000000003,10,12,122.34042553191489,114.79406919275124,0.1276595744680851,0.10638297872340426,0.4459281150995161,0.12824353708625272,0.3936170212765957,0.1383177570093458,0.23731587561374795,0.7626841243862521,0.34419435373791024
AJ Tye,39,53,162.0,204.8,4,7,135.8974358974359,126.41975308641975,0.1794871794871795,0.10256410256410256,0.5046879164079816,0.05986953370379318,0.5534188034188033,0.03551401869158878,0.22879684418145957,0.7712031558185404,0.3570683930671547
AK Markram,72,97,198.6,286.0,7,12,134.72222222222223,144.00805639476334,0.16666666666666666,0.09722222222222222,0.5935846400075411,0.07755496496738341,0.5138888888888888,0.09719626168224299,0.2168803418803419,0.7831196581196581,0.3971181036421208
AL Menaria,21,14,77.2,46.6,3,1,66.66666666666666,60.362694300518136,0.047619047619047616,0.14285714285714285,0.1708151150500224,0.01889345252476444,0.1468253968253968,0.0018691588785046676,0.31868131868131866,0.6813186813186813,0.1549447048861523
AM Nayar,99,118,317.2,375.9,14,16,119.19191919191918,118.50567465321564,0.16161616161616163,0.1414141414141414,0.46468771680441706,0.1348634935974873,0.4983164983164983,0.14766355140186915,0.31546231546231546,0.6845376845376845,0.3617073501924413
AM Rahane,59,48,172.8,143.5,18,5,81.35593220338984,83.04398148148148,0.0847457627118644,0.3050847457627119,0.2854533540012368,0.06508818555206572,0.26129943502824854,0.07289719626168224,0.6805736636245111,0.3194263363754889,0.1982528486194878
AN Ahmed,25,32,138.70000000000002,174.70000000000002,0,4,128.0,125.95529920692141,0.16,0.0,0.5023404228819337,0.04861077554964968,0.4933333333333333,0.009345794392523366,0.0,1.0,0.36337371105496774
AR Patel,477,643,1623.9,2142.2000000000003,39,74,134.8008385744235,131.91698996243613,0.15513626834381553,0.08176100628930817,0.5324726514424696,0.7662720463880164,0.47833682739343114,0.8542056074766355,0.18238993710691823,0.8176100628930818,0.6595758111216866
AS Joseph,26,22,106.7,80.7,1,3,84.61538461538461,75.63261480787254,0.11538461538461539,0.038461538461538464,0.2479940150798836,0.03314810340661996,0.3557692307692308,0.011214953271028033,0.08579881656804735,0.9142011834319527,0.24155267707884834
