batter,death_balls,death_runs,death_pressure_exposure,death_weighted_runs,death_boundaries,death_dismissals,death_sr_raw,death_pressure_sr_raw,death_boundary_rate_raw,death_dismissal_rate_raw,death_pressure_sr_raw_norm,death_pressure_exposure_norm,death_boundary_rate_raw_norm,death_balls_norm,death_dismissal_temp,death_dismissal_rate_norm,death_specialist_score
A Mishra,145,156,642.9,670.4,18,11,107.58620689655172,104.27749261160366,0.12413793103448276,0.07586206896551724,0.2017169196816878,0.250330385280065,0.17588922074395869,0.11538461538461539,0.414604462474645,0.585395537525355,0.23600870436847693
AB de Villiers,221,464,568.3,1178.5,69,8,209.95475113122174,207.3728664437797,0.31221719457013575,0.03619909502262444,0.9495916547268488,0.21241232082952116,0.931497250626477,0.25457875457875456,0.13031514105999634,0.8696848589400037,0.721044937533815
AD Russell,208,349,734.3,1187.0,53,21,167.78846153846155,161.65055154568978,0.2548076923076923,0.10096153846153846,0.6179127163903517,0.2967876385076751,0.7008547008547007,0.23076923076923075,0.5945080461334332,0.4054919538665668,0.5103196728921956
AM Rahane,87,116,180.1,212.8,11,4,133.33333333333331,118.1565796779567,0.12643678160919541,0.04597701149425287,0.3023986299911562,0.015096065873741987,0.1851248478997597,0.009157509157509153,0.2003995790693773,0.7996004209306227,0.241879427759976
AR Patel,211,308,878.4,1258.6,33,17,145.97156398104266,143.28324225865208,0.15639810426540285,0.08056872037914692,0.48467253251074593,0.37003151367286774,0.3054943961388712,0.23626373626373628,0.44833997455305397,0.551660025446946,0.4077665711377144
AT Rayudu,210,322,616.7,916.9,40,15,153.33333333333334,148.67844981352357,0.19047619047619047,0.07142857142857142,0.5238104615043537,0.23701331706821188,0.4424030329542139,0.23443223443223446,0.38282681493650095,0.617173185063499,0.4305679965558001
Abdul Samad,99,149,397.3,604.9,20,11,150.5050505050505,152.25270576390636,0.20202020202020202,0.1111111111111111,0.5497388385256887,0.12549557792009758,0.48878107408291127,0.031135531135531136,0.6672563762347044,0.33274362376529565,0.37913878130095996
B Kumar,172,166,848.2,794.5,18,18,96.51162790697676,93.6689460033011,0.10465116279069768,0.10465116279069768,0.12476037266131745,0.3546813052759988,0.09760117194652995,0.16483516483516483,0.6209538895117411,0.37904611048825887,0.1947487720413751
BJ Hodge,137,232,419.6,703.5,31,10,169.34306569343065,167.65967588179217,0.22627737226277372,0.072992700729927,0.661504122131134,0.13683033445156045,0.5862342024765151,0.10073260073260074,0.3940379071336564,0.6059620928663436,0.47988402559796317
CH Gayle,101,190,214.1,417.3,30,6,188.1188118811881,194.90892106492294,0.297029702970297,0.0594059405940594,0.8591756690105175,0.032377757446375915,0.8704815363426105,0.034798534798534814,0.2966531062659561,0.7033468937340439,0.5980566692152621
