bowler,death_balls,death_runs_conceded,death_pressure_exposure,death_weighted_runs_conceded,death_wickets,death_weighted_wickets,death_dot_balls,death_weighted_dot_balls,death_economy_raw,death_pressure_economy_raw,death_dot_rate_raw,death_wicket_rate_raw,death_pressure_exposure_norm,death_dot_rate_raw_norm,death_wicket_rate_raw_norm,death_balls_norm,death_eco_temp,death_pressure_economy_norm,death_bowler_score
A Mishra,170,270,539.8,941.1,17,46.3,51,147.1,9.529411764705882,10.460540941089294,0.3,0.1,0.2223625228865458,0.4963058419243984,0.5615384615384617,0.24175824175824176,0.47192868993382997,0.52807131006617,0.4539240218245376
A Nehra,184,252,531.8,842.0,20,50.7,58,146.5,8.217391304347826,9.499811959383226,0.31521739130434784,0.10869565217391304,0.21731169897089458,0.5547306887793215,0.617056856187291,0.27252747252747256,0.3186518312661253,0.6813481687338747,0.5326788701485602
A Nortje,180,240,660.6,882.1,12,47.6,63,222.0,8.0,8.01180744777475,0.35,0.06666666666666667,0.29862996401287956,0.6882731958762884,0.3487179487179488,0.2637362637362637,0.08125225077496556,0.9187477492250344,0.6001280621231678
AB Agarkar,87,138,306.2,507.9,3,9.2,18,63.7,9.517241379310345,9.952318745917701,0.20689655172413793,0.034482758620689655,0.07487846454952964,0.13884938973812055,0.14323607427055707,0.059340659340659324,0.3908457799098459,0.6091542200901541,0.2867869054497848
AB Dinda,129,201,462.6,788.9,10,30.099999999999998,31,99.8,9.348837209302326,10.232166018158235,0.24031007751937986,0.07751937984496124,0.1736220721005114,0.26713551240043687,0.4180083482409065,0.15164835164835164,0.4354932420063713,0.5645067579936287,0.3758142834059506
AD Mathews,71,104,215.3,371.90000000000003,6,14.9,21,52.0,8.788732394366198,10.364143056200652,0.29577464788732394,0.08450704225352113,0.017488477807942424,0.48008324863268936,0.4626218851570965,0.024175824175824173,0.45654915495643866,0.5434508450435613,0.38378967661197744
AD Russell,164,277,541.3,1041.0,18,53.6,55,147.0,10.134146341463413,11.538887862553114,0.3353658536585366,0.10975609756097561,0.2233095523707304,0.6320876288659794,0.6238273921200751,0.22857142857142856,0.6439705787737497,0.35602942122625025,0.43214687733915086
AJ Tye,82,153,321.7,635.4,6,25.0,14,48.7,11.195121951219512,11.850792663972646,0.17073170731707318,0.07317073170731707,0.08466443588610391,0.0,0.39024390243902446,0.048351648351648346,0.6937325710476403,0.3062674289523597,0.2027772108392112
AR Patel,90,110,308.2,423.09999999999997,9,24.5,33,109.5,7.333333333333334,8.236859182349125,0.36666666666666664,0.1,0.07614117052844242,0.7522623138602518,0.5615384615384617,0.06593406593406592,0.11715750977113082,0.8828424902288692,0.5897696088325198
Arshdeep Singh,194,278,688.4,1059.6,16,58.0,65,225.6,8.597938144329897,9.235328297501454,0.33505154639175255,0.08247422680412371,0.3161815771197676,0.6308808941793316,0.44964314036479,0.29450549450549446,0.2764555140589773,0.7235444859410227,0.5462231630066968
Avesh Khan,182,280,593.2,974.4,13,42.4,51,161.8,9.230769230769232,9.855697909642615,0.2802197802197802,0.07142857142857142,0.2560767725235179,0.4203627128884859,0.37912087912087916,0.2681318681318682,0.37543067476771474,0.6245693252322853,0.4437206849248874
Azhar Mahmood,89,142,305.2,546.7,7,21.400000000000002,26,87.2,9.573033707865168,10.74770642201835,0.29213483146067415,0.07865168539325842,0.07424711156007323,0.46610873006679787,0.42523768366465003,0.06373626373626373,0.5177437154745845,0.48225628452541547,0.36456967543782237
B Kumar,515,768,1759.9,2780.0,32,99.0,127,412.0,8.94757281553398,9.477811239274958,0.24660194174757283,0.062135922330097085,0.9926763053223057,0.29129216294665194,0.3197908887229276,1.0,0.3151417869863802,0.6848582130136198,0.6108184306870287
B Lee,80,121,264.1,428.2,5,18.7,23,63.4,9.075,9.728133282847406,0.2875,0.0625,0.048298503693415,0.4483140034364259,0.3221153846153847,0.04395604395604394,0.3550787278143024,0.6449212721856976,0.3914487028249729
BA Stokes,61,89,239.1,361.8,4,12.7,15,58.2,8.754098360655739,9.07904642409034,0.2459016393442623,0.06557377049180328,0.03251467895700484,0.28860345896005846,0.3417402269861287,0.00219780219780219,0.2515219531075621,0.7484780468924379,0.3931330356649216
Basil Thampi,74,123,262.6,497.29999999999995,9,27.2,14,39.4,9.972972972972972,11.362528560548359,0.1891891891891892,0.12162162162162163,0.0473514742092304,0.07086467911210181,0.6995841995841997,0.03076923076923077,0.615833819788802,0.38416618021119797,0.2987275830214872
