batter,high_rrr_balls,high_rrr_runs,high_rrr_pressure_exposure,high_rrr_weighted_runs,high_rrr_boundaries,high_rrr_dismissals,high_rrr_sr_raw,high_rrr_pressure_sr_raw,high_rrr_boundary_rate_raw,high_rrr_dismissal_rate_raw,high_rrr_pressure_sr_raw_norm,high_rrr_pressure_exposure_norm,high_rrr_boundary_rate_raw_norm,high_rrr_balls_norm,high_rrr_dismissal_temp,high_rrr_dismissal_rate_norm,high_rrr_specialist_score
A Badoni,78,83,288.3,325.1,6,7,106.41025641025641,112.76448144294137,0.07692307692307693,0.08974358974358974,0.354700601778018,0.06755139214155609,0.15992274718545388,0.014035087719298248,0.4381629080424262,0.5618370919575738,0.2449622865442964
A Mishra,152,128,667.8000000000001,566.8000000000001,10,11,84.21052631578947,84.87571129080564,0.06578947368421052,0.07236842105263158,0.1583498683376252,0.26505334374186834,0.11098398169336385,0.14385964912280702,0.3354470513633482,0.6645529486366518,0.21938867219804242
AB de Villiers,283,401,732.5,990.2,51,21,141.69611307420496,135.18088737201367,0.18021201413427562,0.07420494699646643,0.5125231848915961,0.2987249544626594,0.6139386634757076,0.3736842105263158,0.3463039436899542,0.6536960563100458,0.49028002422794803
AC Gilchrist,84,118,180.9,232.1,22,3,140.47619047619045,128.3029297954671,0.2619047619047619,0.03571428571428571,0.46409896226149183,0.011657559198542805,0.9730265651882309,0.024561403508771937,0.11876075731497418,0.8812392426850258,0.4731564744013313
AD Mathews,139,187,359.1,442.0,19,8,134.53237410071944,123.08549150654413,0.1366906474820144,0.05755395683453238,0.4273656165771337,0.10439760603695031,0.42263653865639894,0.12105263157894737,0.2478691745398862,0.7521308254601138,0.36367142127342944
AD Russell,317,491,1041.8,1534.7,75,19,154.88958990536275,147.31234401996545,0.23659305993690852,0.05993690851735016,0.5979346389475306,0.4596929482175383,0.861766677420165,0.4333333333333334,0.26195634272104196,0.738043657278958,0.6206034797677821
AJ Finch,149,176,402.7,436.1,25,7,118.12080536912752,108.29401539607647,0.16778523489932887,0.04697986577181208,0.32322631007085656,0.12708821233411396,0.5593156252953966,0.13859649122807016,0.18535888520525054,0.8146411147947494,0.36189505215652673
AK Markram,165,201,394.2,506.7,23,8,121.81818181818183,128.53881278538813,0.1393939393939394,0.048484848484848485,0.46575969515951676,0.12266458495966692,0.4345191040843216,0.16666666666666669,0.19425581112328102,0.805744188876719,0.394981701426943
AM Nayar,101,115,306.90000000000003,342.6,12,8,113.86138613861385,111.63245356793743,0.1188118811881188,0.07920792079207921,0.34673056572696714,0.0772313296903461,0.3440487955715351,0.05438596491228069,0.3758797566503639,0.6241202433496361,0.2907988721693548
AM Rahane,239,283,538.5,595.2,31,15,118.41004184100419,110.52924791086352,0.1297071129707113,0.06276150627615062,0.33896345234332215,0.1977621649752797,0.3919397776508058,0.29649122807017547,0.2786543664196536,0.7213456335803464,0.35530945562759814
AR Patel,336,421,1260.1000000000001,1540.7,46,27,125.29761904761905,122.26807396238392,0.13690476190476192,0.08035714285714286,0.4216105928364897,0.5733021077283373,0.423577698072493,0.46666666666666673,0.3826735513482502,0.6173264486517498,0.47641950982660364
AT Rayudu,388,505,931.7,1153.3,60,22,130.15463917525773,123.7844799828271,0.15463917525773196,0.05670103092783505,0.4322868411143165,0.40239396304970076,0.5015309246785059,0.5578947368421052,0.24282697801515343,0.7571730219848466,0.4852064898740632
Abdul Samad,127,152,481.1,594.3000000000001,15,8,119.68503937007875,123.52941176470588,0.11811023622047244,0.06299212598425197,0.4304910347222731,0.1678896695290138,0.3409646513108091,0.09999999999999999,0.2800177086297948,0.7199822913702052,0.3559655071938944
Abhishek Sharma,127,144,314.9,307.4,18,10,113.38582677165354,97.61829152111781,0.14173228346456693,0.07874015748031496,0.24806393462653398,0.08139474368982563,0.4447975080885863,0.09999999999999999,0.3731145052651551,0.6268854947348449,0.27715257367978047
Abishek Porel,80,99,198.6,212.6,14,6,123.75,107.04934541792548,0.175,0.075,0.3144632179098181,0.02086911267239136,0.5910287813839559,0.017543859649122792,0.351004016064257,0.648995983935743,0.3148188503336833
Atharva Taide,84,121,167.0,229.8,17,2,144.04761904761904,137.6047904191617,0.20238095238095238,0.023809523809523808,0.5295886610133343,0.004423627374447042,0.71138424751407,0.024561403508771937,0.04838401223943392,0.9516159877605661,0.452614778509971
B Kumar,191,166,872.7,753.8000000000001,19,15,86.91099476439791,86.37561590466369,0.09947643979057591,0.07853403141361257,0.16890993855280834,0.37168878480353895,0.2590581046030336,0.21228070175438596,0.37189596080657716,0.6281040391934228,0.2777518273972187
B Sai Sudharsan,88,121,173.6,236.5,14,3,137.5,136.23271889400922,0.1590909090909091,0.03409090909090909,0.519928598958725,0.007858443924017688,0.5210989255692257,0.031578947368421054,0.10916392844103687,0.8908360715589632,0.4060044153748771
