bowler,momentum_balls,momentum_runs,momentum_pressure_exposure,momentum_weighted_runs,momentum_wickets,momentum_dot_balls,momentum_economy_raw,momentum_dot_rate_raw,momentum_wicket_rate_raw,momentum_pressure_exposure_norm,momentum_dot_rate_raw_norm,momentum_wicket_rate_raw_norm,momentum_balls_norm,momentum_eco_temp,momentum_economy_norm,momentum_breaker_score
A Ashish Reddy,60,138,149.3,364.7,4,8,13.799999999999999,0.13333333333333333,0.06666666666666667,0.06783663050414807,0.36444444444444446,0.5066666666666667,0.058252427184466014,0.3973174366616987,0.6026825633383013,0.4159922473817113
A Kumble,97,183,283.90000000000003,555.1,2,28,11.319587628865978,0.28865979381443296,0.020618556701030927,0.15373324824505427,0.7890034364261168,0.15670103092783505,0.1181229773462783,0.16812881220520204,0.831871187794798,0.5469316035794087
A Mishra,531,1095,1416.8,2975.5,16,111,12.372881355932204,0.20903954802259886,0.030131826741996232,0.8767070835992343,0.5713747645951036,0.2290018832391714,0.8203883495145632,0.26545252469120206,0.7345474753087979,0.6154452274660692
A Mithun,42,97,129.5,305.8,0,6,13.857142857142856,0.14285714285714285,0.0,0.05520102105934907,0.3904761904761905,0.0,0.029126213592233004,0.4025974025974024,0.5974025974025976,0.315142680175115
A Nehra,287,607,744.2,1619.8,16,68,12.689895470383277,0.23693379790940766,0.05574912891986063,0.447479259731972,0.6476190476190476,0.4236933797909408,0.42556634304207125,0.2947444398863832,0.7052555601136168,0.5807874441801202
A Nortje,185,428,576.2,1270.4,9,43,13.881081081081081,0.23243243243243245,0.04864864864864865,0.34026802807913215,0.6353153153153154,0.3697297297297298,0.2605177993527508,0.40480928021911633,0.5951907197808837,0.5011701094412724
A Singh,62,145,170.4,418.2,4,12,14.03225806451613,0.1935483870967742,0.06451612903225806,0.0813018506700702,0.5290322580645161,0.4903225806451613,0.061488673139158574,0.41877794336810736,0.5812220566318926,0.4480293528472466
A Symonds,76,195,200.8,525.2,5,13,15.394736842105264,0.17105263157894737,0.06578947368421052,0.10070197830248884,0.4675438596491228,0.5,0.08414239482200647,0.5446701702094281,0.4553298297905719,0.39473584265143036
A Zampa,58,140,153.5,373.9,2,9,14.482758620689655,0.15517241379310345,0.034482758620689655,0.07051691129546905,0.4241379310344828,0.2620689655172414,0.05501618122977347,0.4604039262038131,0.5395960737961869,0.35986021094325865
AA Chavan,44,107,104.9,259.3,2,11,14.59090909090909,0.25,0.045454545454545456,0.0395022335673261,0.6833333333333333,0.3454545454545455,0.032362459546925564,0.4703969651808697,0.5296030348191303,0.43247177392236325
AB Agarkar,133,313,410.3,962.6,2,22,14.1203007518797,0.16541353383458646,0.015037593984962405,0.23439693682195278,0.4521303258145363,0.11428571428571428,0.17637540453074432,0.42691303519603774,0.5730869648039623,0.37754739612743343
AB Dinda,182,413,548.9,1255.5,8,32,13.615384615384615,0.17582417582417584,0.04395604395604396,0.3228462029355456,0.48058608058608066,0.3340659340659341,0.255663430420712,0.38025908517711793,0.6197409148228821,0.46171999048334145
AB McDonald,26,57,59.0,130.0,2,5,13.153846153846155,0.19230769230769232,0.07692307692307693,0.010210593490746652,0.5256410256410257,0.5846153846153846,0.003236245954692553,0.3376132064656656,0.6623867935343344,0.4815133950148942
AC Thomas,35,64,112.9,195.8,1,8,10.971428571428572,0.22857142857142856,0.02857142857142857,0.04460753031269943,0.6247619047619047,0.21714285714285714,0.017799352750809058,0.13595912284436862,0.8640408771556314,0.5082740429298693
AD Mascarenhas,34,66,110.9,211.8,1,7,11.647058823529411,0.20588235294117646,0.029411764705882353,0.0433312061263561,0.5627450980392157,0.2235294117647059,0.016181229773462785,0.19838695537827644,0.8016130446217236,0.47190796607033025
AD Mathews,154,329,400.8,848.3,4,22,12.818181818181817,0.14285714285714285,0.025974025974025976,0.22833439693682195,0.3904761904761905,0.19740259740259744,0.21035598705501618,0.30659802194824537,0.6934019780517546,0.42365929781686507
AD Russell,322,760,842.9,2079.4,13,71,14.161490683229815,0.2204968944099379,0.040372670807453416,0.5104658583280154,0.6026915113871636,0.306832298136646,0.482200647249191,0.43071896029843293,0.5692810397015671,0.5105543519273892
AF Milne,48,120,129.5,317.9,0,7,15.0,0.14583333333333334,0.0,0.05520102105934907,0.39861111111111114,0.0,0.03883495145631068,0.5081967213114753,0.4918032786885247,0.28118752257032736
AG Murtaza,43,92,108.2,249.5,0,7,12.83720930232558,0.16279069767441862,0.0,0.041608168474792595,0.44496124031007755,0.0,0.03074433656957929,0.30835615014036644,0.6916438498596336,0.3605509080328283
AJ Tye,109,241,349.59999999999997,800.1999999999999,5,20,13.266055045871559,0.1834862385321101,0.045871559633027525,0.19566049776643266,0.5015290519877676,0.3486238532110092,0.13754045307443366,0.3479812411982661,0.6520187588017339,0.4566336943038372
AM Nayar,46,99,122.80000000000001,278.2,0,9,12.913043478260867,0.1956521739130435,0.0,0.050925335035098926,0.5347826086956522,0.0,0.03559870550161812,0.3153631827901249,0.6846368172098751,0.38197094225104106
AN Ahmed,43,101,126.2,297.5,0,6,14.093023255813954,0.13953488372093023,0.0,0.053095086151882576,0.3813953488372093,0.0,0.03074433656957929,0.4243926108203653,0.5756073891796347,0.30519536569432065
AR Patel,407,839,1047.4,2125.6,12,74,12.368550368550368,0.18181818181818182,0.029484029484029485,0.640970006381621,0.496969696969697,0.2240786240786241,0.6197411003236246,0.2650523440389312,0.7349476559610688,0.5523609393150477
AS Joseph,70,198,200.5,607.6,3,13,16.97142857142857,0.18571428571428572,0.04285714285714286,0.10051052967453733,0.5076190476190476,0.32571428571428573,0.0744336569579288,0.6903555460932509,0.3096444539067491,0.3179175965782279
AS Rajpoot,71,154,198.5,459.59999999999997,3,20,13.014084507042256,0.28169014084507044,0.04225352112676056,0.099234205488194,0.7699530516431925,0.3211267605633803,0.0760517799352751,0.3246993136164229,0.6753006863835771,0.5105974538000732
