bowler,set_batter_balls,set_batter_runs,set_batter_pressure_exposure,set_batter_weighted_runs,set_batter_wickets,set_batter_weighted_wickets,set_batter_dot_balls,set_batter_economy_raw,set_batter_dot_rate_raw,set_batter_wicket_rate_raw,set_batter_pressure_exposure_norm,set_batter_dot_rate_raw_norm,set_batter_wicket_rate_raw_norm,set_batter_balls_norm,set_batter_eco_temp,set_batter_economy_norm,set_batter_control_score
A Ashish Reddy,92,141,238.70000000000002,409.3,8,19.4,34,9.195652173913043,0.3695652173913043,0.08695652173913043,0.0669843988531854,0.6905629555164613,0.5043478260869565,0.06267281105990782,0.49480886272325847,0.5051911372767415,0.4632929231346755
A Chandila,41,42,116.7,129.6,0,0.0,16,6.146341463414634,0.3902439024390244,0.0,0.02155862531183677,0.7338925701395742,0.0,0.015668202764976956,0.16932586526231225,0.8306741347376878,0.47793177250076563
A Kumble,204,245,536.2,695.1,7,17.3,70,7.205882352941176,0.3431372549019608,0.03431372549019608,0.17775626466098227,0.6351864445200045,0.19901960784313727,0.16589861751152074,0.2824211111709091,0.7175788888290908,0.48411863200606065
A Mishra,943,1282,2393.8,3549.9,48,110.9,288,8.15694591728526,0.3054082714740191,0.05090137857900318,0.8694195181889267,0.5561300486088551,0.29522799575821845,0.8470046082949308,0.3839375026074537,0.6160624973925464,0.5853423980396345
A Mithun,50,78,163.7,263.6,2,7.0,11,9.36,0.22,0.04,0.03905871839743828,0.37716763005780346,0.23199999999999998,0.023963133640552997,0.5123513266239705,0.48764867337602946,0.31767112839986034
A Nehra,194,295,581.7,934.5,12,30.6,55,9.123711340206185,0.28350515463917525,0.061855670103092786,0.19469784413746888,0.5102347893450926,0.35876288659793815,0.1566820276497696,0.4871299082257287,0.5128700917742712,0.4139537939555795
A Nortje,190,311,598.9,966.4,11,39.6,56,9.821052631578947,0.29473684210526313,0.05789473684210526,0.20110213352198686,0.5337693945847276,0.3357894736842105,0.15299539170506912,0.5615640198391678,0.4384359801608322,0.3894625889620209
A Singh,44,63,143.8,222.5,2,5.1,11,8.590909090909092,0.25,0.045454545454545456,0.03164910451651339,0.440028901734104,0.2636363636363636,0.0184331797235023,0.43025867088081177,0.5697413291191882,0.36715219177651615
A Symonds,125,197,316.3,521.2,6,16.6,36,9.456,0.288,0.048,0.09587816956473175,0.5196531791907514,0.2784,0.09308755760368664,0.52259835315645,0.47740164684355,0.3715804439097722
A Zampa,75,121,191.8,322.4,4,9.3,15,9.68,0.2,0.05333333333333334,0.04952154000819155,0.3352601156069364,0.30933333333333335,0.04700460829493088,0.5465080817322354,0.4534919182677646,0.3140564817924306
AA Chavan,40,49,98.4,117.5,2,4.1,14,7.3500000000000005,0.35,0.05,0.01474475928063447,0.6495664739884393,0.29,0.014746543778801843,0.2978042086001829,0.7021957913998171,0.46910927579298944
AB Agarkar,251,365,711.3000000000001,1108.7,10,22.5,70,8.725099601593627,0.2788844621513944,0.0398406374501992,0.24295341996499986,0.5005527024848582,0.23107569721115537,0.20921658986175115,0.4445821471661387,0.5554178528338614,0.41096656453797215
AB Dinda,161,242,522.1,862.2,12,33.2,49,9.01863354037267,0.30434782608695654,0.07453416149068323,0.1725062367353018,0.553908017089721,0.4322981366459627,0.12626728110599078,0.47591391861251425,0.5240860813874857,0.4382441118713721
AB McDonald,54,71,145.8,193.20000000000002,3,7.3,15,7.888888888888889,0.2777777777777778,0.05555555555555555,0.03239378932866665,0.49823378291586384,0.3222222222222222,0.027649769585253454,0.35532513300125373,0.6446748669987463,0.4206434495143636
